flight_date,icao24,callsign,airline_prefix,groundspeed_kts,altitude_ft,track_deg,avg_lat,avg_lon,ping_count,corridor_code,month_code,airline,era5_u_kts,era5_v_kts,headwind_kts,tas_kts,daily_mean_gs,daily_sd_gs
2023-01-02,406446,EZY63UV,EZY,488.3,36007,340.6,46.033,-0.294,888,C1,Jan,easyJet,57.2459930859375,89.47723669677734,65.38206316370932,422.91793683629066,505.2090909090909,32.73134444368133
2023-01-02,3444ca,VLG46YA,VLG,485,36003,338.6,45.04,-0.054,1840,C1,Jan,Vueling,50.8222093359375,81.96004294677735,57.76553033850941,427.2344696614906,505.2090909090909,32.73134444368133
2023-01-02,400fda,EZY45BN,EZY,483.3,37998,340.9,45.077,0.181,1815,C1,Jan,easyJet,50.5716362109375,81.59177638427734,60.55211578644479,422.7478842135552,505.2090909090909,32.73134444368133
2023-01-02,4073a1,EZY92NP,EZY,476.8,37998,352,46.839,-0.834,146,C1,Jan,easyJet,62.1815243359375,94.11663607177735,84.54670387499594,392.25329612500406,505.2090909090909,32.73134444368133
2023-01-02,406a95,EZY48CP,EZY,473,36013,333.7,46.084,-0.727,391,C1,Jan,easyJet,58.0280849609375,89.41649169677734,54.45009875376513,418.54990124623487,505.2090909090909,32.73134444368133
2023-01-02,400efd,EZY65LZ,EZY,470.7,36005,339.8,44.957,-0.081,1959,C1,Jan,easyJet,50.8222093359375,81.96004294677735,59.3701110977984,411.32988890220156,505.2090909090909,32.73134444368133
2023-01-03,405f11,EZY63GA,EZY,463.4,36000,344.6,44.252,0.203,326,C1,Jan,easyJet,7.191045302734375,-27.971055576171874,-28.876392203830076,492.27639220383,425.1428571428571,25.366444045559152
2023-01-03,400cd8,EZY39ED,EZY,458.2,37999,341,43.411,0.44,29,C1,Jan,easyJet,11.974714052734376,-10.222125888671876,-13.56379546415485,471.76379546415484,425.1428571428571,25.366444045559152
2023-01-03,406669,EZY26MP,EZY,448.4,35998,338.4,45.646,-0.619,361,C1,Jan,easyJet,16.955804052734376,-38.10787745117187,-41.67365616353261,490.0736561635326,425.1428571428571,25.366444045559152
2023-01-03,40756d,EZY64BU,EZY,441,38010,344.7,43.832,0.366,842,C1,Jan,easyJet,7.3580940527343754,-20.461454951171874,-21.677850885219968,462.67785088522,425.1428571428571,25.366444045559152
2023-01-03,407838,EZY86KF,EZY,437.3,36005,338.4,43.059,0.852,62,C1,Jan,easyJet,20.357524052734377,4.664195673828125,-3.1574449725733134,440.45744497257334,425.1428571428571,25.366444045559152
2023-01-03,4074b6,EZY61ZV,EZY,430.3,38002,337.6,43.591,0.575,640,C1,Jan,easyJet,11.974714052734376,-10.222125888671876,-14.014034736219728,444.31403473621975,425.1428571428571,25.366444045559152
2023-01-03,407573,EZY68XT,EZY,425.4,37781,335.4,44.441,0.3,1285,C1,Jan,easyJet,8.087034052734374,-30.036385576171874,-30.67664329362511,456.07664329362507,425.1428571428571,25.366444045559152
2023-01-03,406b90,EZY26XU,EZY,422.7,36023,340.2,43.942,0.634,795,C1,Jan,easyJet,11.017980302734376,-14.014891826171874,-16.91854993127071,439.6185499312707,425.1428571428571,25.366444045559152
2023-01-03,346090,VLG6ZA,VLG,421.1,36004,350.6,45.616,0.957,1450,C1,Jan,Vueling,13.857809052734375,-26.691614013671874,-28.59654333234564,449.69654333234564,425.1428571428571,25.366444045559152
2023-01-03,394c0f,AFR13LP,AFR,418.3,34000,357.8,45.949,1.146,469,C1,Jan,Air France,17.935317177734376,-25.172989013671874,-25.842931948317265,444.14293194831725,425.1428571428571,25.366444045559152
2023-01-03,346353,VLG46YA,VLG,410,36002,343.4,45.176,-0.404,1613,C1,Jan,Vueling,14.427293427734375,-37.23846463867188,-39.8081712071028,449.8081712071028,425.1428571428571,25.366444045559152
